id,school,bars,arts_and_entertainment,population,population_density,crime_dom,education_dep,employment_dep,health_dep,income_dep,living_environment_dep,accidents_num
21968,-0.251562523,-0.221664024,-0.166413543,-0.211735538,-0.025928633,-0.279536226,-0.528539878,-0.705590403,-1.026870271,-0.778111751,-1.563693576,0
7567,-0.251562523,-0.221664024,-0.166413543,-0.989817905,-0.343745631,-0.047673762,-0.331289881,0.303385477,0.223796389,-0.057142121,1.423107758,0
31685,-0.251562523,-0.221664024,-0.166413543,-1.259309975,-0.330324305,0.271965207,-0.296007908,-0.121446473,0.006026136,-0.232513112,0.945579943,0
28973,-0.251562523,-0.221664024,-0.166413543,-0.708168298,-0.339450807,0.081506754,-0.646633945,-0.254206457,-0.285846494,-0.524798097,0.537443342,0
6904,-0.251562523,-0.221664024,-0.166413543,1.372796783,-0.336766542,-0.539553418,-0.480461334,-0.546278422,0.095251448,-0.622226425,0.700712515,0
39771,-0.251562523,-0.221664024,-0.166413543,-0.456912534,-0.327103187,-1.153988948,-0.662629659,-0.333862447,-0.562596191,-0.485826766,-0.099284631,0
11296,-0.251562523,-0.221664024,-0.166413543,-0.039503764,-0.350724721,-0.07914081,-0.740505932,-1.024214365,-0.276772734,-0.641712091,2.053732211,0
8476,0.959600323,0.21691302,-0.166413543,-0.272523223,0.173243844,-0.140418747,0.116133074,0.993737395,1.221910047,0.546913514,-0.47392453,0
26075,-0.251562523,-0.221664024,-0.166413543,-1.166102192,-0.30992389,1.103357757,-0.699556906,-0.307310451,-0.31911695,-0.193541781,-0.579936868,0
29951,-0.251562523,-0.221664024,-0.166413543,0.219857025,-0.305092212,-1.851232501,-0.571225582,-0.838350387,-0.734997641,-0.60274076,0.366835413,0
7175,-0.251562523,0.21691302,-0.166413543,0.414377617,-0.331934864,-1.606120753,-0.662538255,-0.572830419,-0.066563948,-0.797597416,-0.244315903,1
27625,-0.251562523,-0.221664024,-0.166413543,-1.210679827,-0.316366126,-0.845943103,-0.378545789,0.011313512,0.07861622,-0.15457045,-0.191346065,0
32224,0.959600323,0.21691302,0.748921196,0.161095596,-0.086056173,0.82677896,-0.847905722,-0.307310451,-0.018170559,0.040286207,0.100533003,1
23791,-0.251562523,0.21691302,-0.166413543,-0.367757263,1.065493594,-2.1360921,-0.620675188,-1.024214365,-1.610615532,-0.700169088,-1.355592593,3
34490,2.170763169,-0.221664024,0.291253826,-0.544041549,2.150473583,0.315025379,0.415024404,1.471673338,1.280889491,1.891424444,-0.168385202,2
