id,bottom_left_longitude,bottom_left_latitude,top_right_longitude,top_right_latitude,school
197,-2.528671,51.0766587,-2.514308596,51.08564183,0
198,-2.528671,51.06767557,-2.514308596,51.0766587,0
199,-2.528671,51.05869244,-2.514308596,51.06767557,0
200,-2.528671,51.04970931,-2.514308596,51.05869244,0
201,-2.528671,51.04072618,-2.514308596,51.04970931,0
202,-2.528671,51.03174305,-2.514308596,51.04072618,0
203,-2.528671,51.02275992,-2.514308596,51.03174305,0
204,-2.528671,51.01377679,-2.514308596,51.02275992,0
205,-2.528671,51.00479366,-2.514308596,51.01377679,0
206,-2.528671,50.99581052,-2.514308596,51.00479366,0
207,-2.528671,50.98682739,-2.514308596,50.99581052,0
208,-2.528671,50.97784426,-2.514308596,50.98682739,0
209,-2.528671,50.96886113,-2.514308596,50.97784426,0
210,-2.528671,50.959878,-2.514308596,50.96886113,0
211,-2.514308596,52.84633552,-2.499946192,52.85531866,0
212,-2.514308596,52.83735239,-2.499946192,52.84633552,0
213,-2.514308596,52.82836926,-2.499946192,52.83735239,0
214,-2.514308596,52.81938613,-2.499946192,52.82836926,0
215,-2.514308596,52.810403,-2.499946192,52.81938613,0
216,-2.514308596,52.80141987,-2.499946192,52.810403,0
217,-2.514308596,52.79243674,-2.499946192,52.80141987,0
218,-2.514308596,52.78345361,-2.499946192,52.79243674,0
219,-2.514308596,52.77447048,-2.499946192,52.78345361,0
220,-2.514308596,52.76548734,-2.499946192,52.77447048,0
221,-2.514308596,52.75650421,-2.499946192,52.76548734,0
222,-2.514308596,52.74752108,-2.499946192,52.75650421,0
223,-2.514308596,52.73853795,-2.499946192,52.74752108,0
224,-2.514308596,52.72955482,-2.499946192,52.73853795,0
225,-2.514308596,52.72057169,-2.499946192,52.72955482,0
226,-2.514308596,52.71158856,-2.499946192,52.72057169,1
227,-2.514308596,52.70260543,-2.499946192,52.71158856,0
228,-2.514308596,52.6936223,-2.499946192,52.70260543,3
229,-2.514308596,52.68463917,-2.499946192,52.6936223,0
230,-2.514308596,52.67565603,-2.499946192,52.68463917,0
231,-2.514308596,52.6666729,-2.499946192,52.67565603,0
232,-2.514308596,52.65768977,-2.499946192,52.6666729,0
233,-2.514308596,52.64870664,-2.499946192,52.65768977,0
234,-2.514308596,52.63972351,-2.499946192,52.64870664,0
235,-2.514308596,52.63074038,-2.499946192,52.63972351,0
236,-2.514308596,52.62175725,-2.499946192,52.63074038,0
237,-2.514308596,52.61277412,-2.499946192,52.62175725,0
238,-2.514308596,52.60379099,-2.499946192,52.61277412,0
239,-2.514308596,52.59480785,-2.499946192,52.60379099,1
240,-2.514308596,52.58582472,-2.499946192,52.59480785,0
241,-2.514308596,52.57684159,-2.499946192,52.58582472,0
242,-2.514308596,52.56785846,-2.499946192,52.57684159,0
243,-2.514308596,52.55887533,-2.499946192,52.56785846,0
244,-2.514308596,52.5498922,-2.499946192,52.55887533,0
245,-2.514308596,52.54090907,-2.499946192,52.5498922,0
246,-2.514308596,52.53192594,-2.499946192,52.54090907,0
247,-2.514308596,52.52294281,-2.499946192,52.53192594,0
248,-2.514308596,52.51395967,-2.499946192,52.52294281,0
249,-2.514308596,52.50497654,-2.499946192,52.51395967,0
250,-2.514308596,52.49599341,-2.499946192,52.50497654,0
251,-2.514308596,52.48701028,-2.499946192,52.49599341,0
252,-2.514308596,52.47802715,-2.499946192,52.48701028,0
253,-2.514308596,52.46904402,-2.499946192,52.47802715,0
254,-2.514308596,52.46006089,-2.499946192,52.46904402,0
255,-2.514308596,52.45107776,-2.499946192,52.46006089,0
256,-2.514308596,52.44209463,-2.499946192,52.45107776,0
257,-2.514308596,52.4331115,-2.499946192,52.44209463,0
258,-2.514308596,52.42412836,-2.499946192,52.4331115,0
259,-2.514308596,52.41514523,-2.499946192,52.42412836,0
260,-2.514308596,52.4061621,-2.499946192,52.41514523,0
261,-2.514308596,52.39717897,-2.499946192,52.4061621,0
262,-2.514308596,52.38819584,-2.499946192,52.39717897,0
