id,school,bars,arts_and_entertainment,population,population_density,crime_dom,education_dep,employment_dep,health_dep,income_dep,living_environment_dep,accidents_num
20236,-0.251562523,-0.221664024,-0.166413543,-0.724378348,-0.349114162,-0.567708146,-0.662812467,-0.918006378,-0.231403931,-0.817083082,0.345836397,0
17421,-0.251562523,-0.221664024,-0.166413543,0.223909537,-0.27288103,-0.827725338,-0.711256627,-0.519726425,-0.379608687,-0.213027447,-0.836212066,0
41575,-0.251562523,-0.221664024,-0.166413543,-0.612934259,-0.337840248,-0.90722104,4.034991453,3.011689155,2.368228461,2.300623423,0.552266178,0
43912,-0.251562523,-0.221664024,-0.166413543,-0.821638644,-0.33998766,-1.16061359,1.087758408,0.993737395,1.878245392,0.254628529,0.149797132,0
37375,-0.251562523,-0.221664024,-0.166413543,-0.471096327,-0.348577308,1.280566926,2.253983021,2.21512925,1.923614195,2.398051751,1.10921242,0
5171,-0.251562523,0.21691302,-0.166413543,-0.592671697,0.069631208,-1.66574253,0.198762359,-0.041790482,0.381074905,-0.622226425,-0.061137629,1
37116,0.959600323,0.655490065,0.748921196,0.347511164,1.761255131,-0.200040524,3.008066653,1.259257363,0.483910857,1.423768469,-1.429561448,3
15342,-0.251562523,-0.221664024,-0.166413543,-0.36370475,-0.33461913,1.287191568,1.081725739,-0.121446473,-0.595866646,0.371542523,0.190777912,0
12102,-0.251562523,-0.221664024,-0.166413543,0.284697222,-0.264828235,-0.564395825,-0.511995741,-0.307310451,0.048370352,-0.427369769,0.006364401,1
11008,-0.251562523,0.655490065,-0.166413543,-0.621039283,-0.205237547,1.056985264,2.244842613,2.321337237,2.096015645,1.443254134,-0.16366224,4
18032,-0.251562523,-0.221664024,-0.166413543,-0.738562141,-0.287912915,-0.700200982,-0.419677623,-0.386966441,-0.229891638,-0.096113453,-0.200864651,0
25980,-0.251562523,-0.221664024,-0.166413543,-1.026290516,-0.344819337,-0.968498977,-0.884741565,-0.572830419,-0.340289058,-0.622226425,0.796770301,0
4022,-0.251562523,-0.221664024,-0.166413543,1.14180358,-0.33300857,-1.102647974,-0.245918474,0.011313512,0.455177282,-0.407884103,-0.687911051,0
6864,0.959600323,-0.221664024,-0.166413543,0.112465448,-0.343745631,0.215655751,-0.459255588,-0.201102463,-0.933108079,-0.271484444,1.50674052,1
31934,-0.251562523,-0.221664024,-0.166413543,-0.866216279,-0.336229689,0.478985264,0.991509915,0.675113433,0.768222021,0.293599861,0.929594532,0
7874,-0.251562523,0.21691302,0.291253826,-0.748693422,-0.322808363,-0.675358576,-0.569214692,-0.838350387,-0.706264066,-0.895025745,0.741693295,0
19074,-0.251562523,0.21691302,-0.166413543,0.242145843,-0.331398011,-1.206986083,-0.254876073,-0.466622432,-0.175449075,-0.524798097,1.021074678,0
14800,-0.251562523,-0.221664024,-0.166413543,-0.843927461,-0.312608155,-0.680327057,-0.6209494,-0.22765446,-0.220817877,-0.505312431,-0.998173341,0
28017,2.170763169,-0.221664024,-0.166413543,-1.216758596,-0.319587244,0.417707327,0.076555109,-0.307310451,-0.609477287,-0.037656456,-0.214670233,2
9742,0.959600323,0.655490065,0.291253826,0.274565942,2.094104015,1.14973025,1.746233375,4.843776937,3.137985813,4.28816132,2.223904175,14
17651,-0.251562523,-0.221664024,0.291253826,-0.252260661,-0.278249561,-0.796258289,0.761994279,0.489249455,0.149694011,0.371542523,-1.219861924,0
6927,-0.251562523,-0.221664024,-0.166413543,0.829760131,-0.316902979,0.389552599,-0.465196853,0.011313512,0.372001144,-0.037656456,0.005565131,0
792,-0.251562523,-0.221664024,-0.166413543,-0.51162145,0.172170138,0.273621367,-0.269683534,0.595457442,0.620017265,0.332571192,-0.622152884,0
25664,-0.251562523,-0.221664024,-0.166413543,0.167174365,-0.009286188,-0.758166599,-0.146196626,-0.201102463,-1.208345482,-0.096113453,-1.316791642,0
16197,-0.251562523,-0.221664024,-0.166413543,0.544058012,-0.345893043,1.355094147,-0.572596643,-0.7321424,-1.082825128,-0.329941441,0.766107377,0
6827,-0.251562523,-0.221664024,-0.166413543,-1.222837364,-0.333545423,-0.935375768,-0.726886725,-0.652486409,-0.170912194,-0.544283763,1.050865671,0
24357,-0.251562523,0.21691302,-0.166413543,3.419315509,-0.329787452,-0.698544822,-0.427172757,-0.572830419,-1.175075026,-0.739140419,0.844072585,0
33859,-0.251562523,-0.221664024,-0.166413543,-0.961450319,-0.146183713,0.076538273,-0.530550768,-0.280758454,0.093739155,-0.193541781,-0.856702456,0
23754,-0.251562523,-0.221664024,-0.166413543,-0.661564407,-0.331934864,-0.867473189,-0.821124328,-0.785246394,-0.769780389,-0.836568748,-0.506258656,0
746,-0.251562523,-0.221664024,-0.166413543,0.410325105,-0.301871094,-0.044361441,0.41986882,0.887529408,0.196575107,0.488456517,-0.014343972,0
